,POI,DP_01,DP_02,DP_03,DP_04,DP_05,DP_06,DP_07,DP_08,DP_09,DP_10,DP_101,DP_102,DP_103,DP_11,DP_12,DP_13,DP_14,DP_15,DP_16,DP_17,DP_18,DP_19,DP_20,DP_21,DP_22,DP_23,DP_24,DP_25,DP_26,DP_27,DP_28,DP_29,DP_30,DP_31,DP_32,DP_33,DP_34,DP_35,DP_36,DP_37,DP_38,DP_39,DP_40,DP_41,DP_42,DP_43,DP_44,DP_45,DP_46,DP_47,DP_48,DP_49,DP_50,DP_51,DP_52,DP_53,DP_56,DP_57,DP_58,DP_62,DP_63,DP_64,DP_65,DP_66,DP_69,DP_70,DP_73,DP_75,DP_77,DP_78,DP_80,DP_81,DP_85,DP_87,DP_89,DP_90,DP_91,DP_92,DP_96,DP_97,DP_98,DP_99
0,aerialway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,aeroway,3,0,0,1,0,1,1,0,2,0,0,0,0,4,0,1,0,9,1,0,0,0,0,1,1,2,0,0,0,25,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,1,1,3,2,0,0
2,amenity,381,70,284,332,192,227,122,133,218,55,75,25,15,172,427,123,858,324,253,91,43,97,69,16,19,192,83,60,33,154,52,50,151,35,18,33,106,122,245,24,55,170,20,14,9,56,17,12,48,46,34,8,5,141,69,18,50,61,3,48,15,22,7,17,15,8,44,17,197,808,21,70,37,42,70,41,27,100,189,42,122,32
3,barrier,25,35,18,40,31,466,1591,165,165,88,51,79,36,258,119,118,160,111,1792,203,45,351,61,22,25,196,52,82,27,272,56,38,62,37,23,110,146,76,612,93,33,62,53,41,41,38,22,12,165,94,52,91,98,106,58,101,79,63,16,21,51,41,83,64,35,26,103,69,28,87,46,82,69,42,99,50,96,110,113,39,226,128
4,boundary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,building,11,49,20,16,26,35,1,33,72,44,0,1,13,9,318,79,22,49,84,14,1,53,25,8,0,6,27,1,7,7,1,4,0,1,1,7,2,17,9,9,6,414,4,2,1,19,8,0,4,0,0,1,0,1,26,1,3,63,1,10,0,15,0,85,0,4,170,1,5,18,0,35,9,3,2,92,6,3,13,19,20,0
6,craft,2,2,3,11,1,3,1,2,10,0,0,0,0,1,9,4,21,2,10,5,0,7,2,0,1,2,0,1,0,0,1,1,4,0,0,0,1,0,2,0,1,13,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0,1,0,0,0,0,0,1,0,0,2,0,4,12,0,1,0,0,0,1,1,3,2,0,0,0
7,emergency,4,0,6,2,0,1,1,13,0,61,0,0,0,5,23,0,1,0,0,1,19,3,0,67,2,0,45,1,0,2,0,20,44,23,0,0,2,0,0,0,0,2,0,28,22,0,0,0,0,0,0,9,0,3,24,3,1,22,22,31,6,17,3,10,8,6,3,0,0,8,0,29,0,1,0,4,0,0,0,0,2,1
8,geological,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,healthcare,13,3,10,17,10,27,10,4,12,1,2,1,0,12,4,13,39,18,35,7,2,14,7,0,1,3,3,4,3,8,6,2,12,3,2,0,13,17,25,1,3,16,2,2,4,6,1,0,2,5,3,0,0,5,6,0,2,4,0,2,0,0,0,2,2,0,7,2,12,50,2,3,2,1,12,2,1,24,7,4,14,4
10,highway,568,362,579,421,493,1129,1445,896,1323,867,407,313,250,1170,1313,987,1333,990,1688,1149,404,990,518,485,333,1614,708,782,263,1249,891,334,837,277,328,536,579,686,925,601,473,1137,597,460,328,329,234,294,612,584,365,446,390,574,319,452,576,471,307,404,280,537,248,370,556,414,670,217,737,877,256,419,503,470,354,675,553,677,1055,396,1312,483
11,historic,16,0,42,3,2,0,3,4,1,0,1,2,0,3,4,3,4,5,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,1,0,0,0,0,0,0,0
12,landuse,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,1,0,0,0,0
13,leisure,1,6,3,3,7,50,14,5,5,4,20,6,0,15,3,7,21,8,10,14,2,3,3,1,0,6,3,2,3,3,22,2,6,11,0,2,7,5,20,3,3,4,6,0,1,1,1,4,2,1,2,4,0,3,1,3,1,4,0,1,0,0,0,2,0,0,2,1,1,13,3,1,2,6,9,3,2,8,5,0,9,5
14,man_made,6,3,3,3,6,6,9,17,16,13,12,12,8,19,8,12,11,1,11,38,2,12,5,13,19,18,19,24,5,5,17,8,3,5,5,20,19,7,9,25,8,12,14,12,11,8,8,8,33,43,16,13,19,17,2,13,6,3,3,25,11,20,13,15,11,10,14,7,1,4,9,4,19,13,8,15,13,54,9,7,47,31
15,military,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,natural,45,21,98,8,20,89,81,60,95,9,61,3,7,32,168,110,141,33,27,322,17,129,18,8,4,65,11,21,5,217,7,35,27,2,15,8,14,12,413,4,14,63,13,68,6,0,26,14,5,5,45,9,0,66,5,5,35,11,0,7,0,3,3,40,1,5,18,2,8,17,1,14,23,12,1,93,28,10,16,0,2,1
17,office,42,2,16,17,13,11,5,5,29,4,1,5,1,18,21,4,25,24,12,6,1,15,6,0,0,15,3,1,1,5,2,2,7,0,2,2,4,6,7,0,2,10,1,0,2,0,1,0,0,1,2,2,1,2,4,1,2,1,0,5,0,0,1,1,0,0,1,1,12,42,1,2,1,1,7,3,3,4,10,4,2,1
18,place,3,1,1,1,3,7,8,4,4,13,9,2,1,2,7,8,7,3,12,5,1,2,11,5,4,5,10,28,2,2,3,1,5,2,3,16,3,9,1,2,6,8,3,1,1,3,5,2,13,16,7,11,8,6,2,8,2,1,1,4,5,8,2,6,3,3,9,11,4,2,0,2,12,9,5,3,4,2,3,6,12,5
19,power,0,0,0,0,1,0,24,43,110,49,52,74,0,22,12,17,71,2,32,32,92,1,0,43,54,21,84,382,0,34,208,4,21,0,20,90,162,11,0,52,12,49,47,49,32,1,0,0,189,29,133,92,19,64,21,42,84,29,0,64,21,20,0,61,72,0,74,0,0,0,0,40,56,165,85,87,134,52,54,11,32,44
20,public_transport,209,103,151,114,130,433,392,311,442,391,397,101,85,466,297,455,499,247,532,480,128,305,416,184,177,440,215,647,242,331,309,193,280,102,67,421,416,385,272,325,358,510,270,307,273,192,91,191,676,517,234,89,96,395,119,241,280,209,235,120,188,110,127,123,265,354,590,237,129,136,211,119,294,381,234,313,240,441,313,200,881,191
21,railway,34,17,31,11,13,10,30,132,4,2,7,0,3,71,11,14,50,27,32,28,18,0,0,22,7,26,24,20,0,17,6,0,0,0,3,4,57,12,29,21,0,6,0,0,25,0,2,4,14,1,8,10,5,13,15,0,26,0,0,5,1,5,20,0,25,19,0,0,19,32,0,63,19,18,5,0,17,48,21,36,0,13
22,route,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,shop,226,75,211,169,49,96,69,117,274,56,13,6,15,102,1186,108,380,77,211,61,39,170,76,8,5,49,46,6,24,63,33,62,88,20,5,9,40,62,86,9,36,260,12,13,12,21,7,5,7,22,8,5,3,71,52,12,30,53,0,25,12,16,11,25,21,11,73,12,71,482,14,78,13,10,44,71,26,83,74,9,75,23
24,sport,0,4,0,0,1,3,2,1,0,1,12,0,0,5,0,3,2,2,5,11,0,3,2,0,0,6,2,0,1,3,16,2,1,6,0,1,4,0,10,1,0,2,3,0,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,3,1,0,1,4,3,0,0,3,4,0,3,2
25,telecom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,tourism,50,3,52,31,13,6,11,4,10,0,19,9,0,6,18,8,34,15,8,76,1,2,0,1,2,17,1,31,4,10,1,0,0,0,2,1,3,1,34,2,4,1,0,0,1,2,0,0,8,6,9,0,0,6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,12,46,1,5,14,0,5,1,0,6,14,0,3,1
27,water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,waterway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
